date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice			
02-2014	14	2	Toronto C12	29	46022599	1586986	1331000	82	42.3	132	4.8	97	32	-	20	39570999	1978550	1885000	48	85	97	34	-	-	-	-	1	1	-	-	5	4221500	844300	795000	15	12	98	18	4	2230100	557525	494000	17	32	97	39	-	-	-	-	1	2	-	-	-	-	-			
02-2014	14	2	Toronto C13	59	43480006	736949	510000	87	63.7	90	1.8	101	20	-	24	30475206	1269800	1065000	28	20	102	16	5	2638000	527600	526500	7	3	103	10	1	324000	324000	324000	1	3	98	74	25	7985900	319436	319900	47	62	99	21	3	1837000	612333	672000	3	1	100	4	28	9822900	350817.8571			
02-2014	14	2	Toronto C14	148	101809458	687902	478000	262	44.8	375	3.5	99	29	-	41	54556100	1330637	1180000	53	58	100	13	-	-	-	-	-	-	-	-	9	4971200	552356	572000	12	14	99	27	90	35676158	396402	347500	190	294	98	38	7	6366000	909429	873000	7	8	100	11	97	42042158	433424.3093			
02-2014	14	2	Toronto C15	92	55664248	605046	435000	185	52.8	250	2.7	101	22	-	29	29995498	1034328	960000	40	33	103	9	5	3308600	661720	651800	8	4	108	6	11	5025550	456868	408500	13	15	101	13	46	17007600	369730	337500	123	198	98	35	-	-	-	-	-	-	-	-	-	-	-			
02-2014	14	2	Toronto Central	1059	750234925	708437	466000	2315	48.9	3339	3.1	100	27	-	253	360647603	1425485	1220000	505	604	100	19	53	48998297	924496	790500	86	65	109	9	52	32408804	623246	473750	95	109	100	18	653	274039982	419663	371250	1560	2494	98	32	31	28209339	909979	831518	48	42	103	16	684	302249321	441884.9722			
02-2014	14	2	Toronto E01	68	41068919	603955	618500	117	61.2	96	1.5	106	18	-	7	4576186	653741	660000	24	24	112	9	27	18111640	670801	670000	41	25	108	11	2	1057300	528650	528650	6	6	103	35	22	11206600	509391	499750	33	35	100	31	10	6117193	611719	617758	12	5	110	9	32	17323793	541368.5313			
02-2014	14	2	Toronto E02	45	33942717	754283	671818	87	63.8	71	1.4	104	15	-	15	15310100	1020673	990000	37	25	102	18	19	12846617	676138	645000	26	14	108	7	3	1544000	514667	495000	9	9	100	5	3	1047900	349300	348000	9	21	96	38	5	3194100	638820	611100	6	2	104	31	8	4242000	530250			
02-2014	14	2	Toronto E03	47	30471500	648330	619000	93	64.1	75	1.3	105	18	-	29	20944900	722238	685000	58	48	104	17	11	7388600	671691	663000	21	12	109	14	-	-	-	-	1	1	-	-	6	1723000	287167	276500	12	13	98	24	1	415000	415000	415000	1	1	99	48	7	2138000	305428.5714			
02-2014	14	2	Toronto E04	84	36077086	429489	447550	128	63.1	114	1.8	102	19	-	43	22940986	533511	525000	59	33	104	10	12	5367900	447325	413500	10	5	99	23	5	1907300	381460	377800	5	6	98	30	22	4908900	223132	207000	45	59	97	30	2	952000	476000	476000	9	11	97	30	24	5860900	244204.1667			
02-2014	14	2	Toronto E05	63	26768794	424901	362000	99	69.5	88	1.5	103	26	-	15	10435388	695693	688000	31	22	104	7	6	3326218	554370	559050	9	4	111	6	13	4308400	331415	338500	21	16	102	21	27	7473188	276785	262500	36	45	97	44	1	554800	554800	554800	1	1	107	6	28	8027988	286713.8571			
02-2014	14	2	Toronto E06	30	16357877	545263	477500	50	57.6	47	1.6	101	12	-	24	13725177	571882	477500	36	32	100	11	3	1546500	515500	521000	5	3	107	7	-	-	-	-	-	-	-	-	2	641200	320600	320600	6	9	101	23	1	445000	445000	445000	3	3	94	17	3	1086200	362066.6667			
