"","date","year","month","area","numofsales","dollarVolume","allAveragePrice","allMedianPrice","newListings","SNLRTrend","activeListings","mosInvTrend","avgSPLP","avgLDOM","avgPDOM","detachedNumberofSales","detachedDollarVolume","detachedAveragePrice","detachedMedianPrice","detachedNewListings","detachedActiveListings","detachedAvgSPLP","detachedAvgLDOM","semidetachedNumberofSales","semidetachedDollarVolume","semidetachedAveragePrice","semidetachedMedianPrice","semidetachedNewListings","semidetachedActiveListings","semidetachedAvgSPLP","semidetachedAvgLDOM","attachedNumberofSales","attachedDollarVolume","attachedAveragePrice","attachedMedianPrice","attachedNewListings","attachedActiveListings","attachedAvgSPLP","attachedAvgLDOM","condotownhouseNumberofSales","condotownhouseDollarVolume","condotownhouseAveragePrice","condotownhouseMedianPrice","condotownhouseNewListings","condotownhouseActiveListings","condotownhouseAvgSPLP","condotownhouseAvgLDOM","condoapartmentNumberofSales","condoapartmentDollarVolume","condoapartmentAveragePrice","condoapartmentMedianPrice","condoapartmentNewListings","condoapartmentActiveListings","condoapartmentAvgSPLP","condoapartmentAvgLDOM","allcondoNumberofSales","allcondoDollarVolume","allcondoAveragePrice","...59","...60","...61"
"46","01-2012",12,"1","Toronto C14",84,47046780,560081,435000,182,62.2,220,1.7,98,33,"-","17","18845000","1108529","970000","36",39,"99","27","-","-","-","-","-","-","-","-","10","4787800","478780","443500","15","14","99","38","55","21928980","398709","380000","128","161","98","34","2","1485000","742500","742500","3","6","99","12","57","23413980","410771.5789",NA,NA,NA
"47","01-2012",12,"1","Toronto C15",72,40471826,562109,413000,205,58.6,283,1.9,102,28,"-","22","21545588","979345","901500","36",20,"106","14","4","2034500","508625","502500","13","12","99","31","14","4913488","350963","356300","11","15","97","36","30","11169250","372308","334950","142","232","98","34","-","-","-","-","1","1","-","-","-","-","-",NA,NA,NA
"48","01-2012",12,"1","Toronto Central",770,474780215,616598,439950,2002,59.6,2548,2.1,99,31,"-","189","217641496","1151542","965000","382",413,"101","23","48","32409800","675204","634000","75","68","101","20","47","19148373","407412","392000","80","95","99","32","460","187377446","407342","360000","1408","1902","98","35","19","16237600","854611","795000","39","40","99","29","479","203615046","425083.6033",NA,NA,NA
"49","01-2012",12,"1","Toronto E01",42,21413599,509848,469250,88,60.5,91,1.6,101,18,"-","14","8590099","613579","568800","24",18,"99","14","13","7048500","542192","518000","31","30","103","11","5","1843000","368600","350000","11","9","101","15","8","3092000","386500","363000","21","30","102","27","2","840000","420000","420000","1","4","95","58","10","3932000","393200",NA,NA,NA
"50","01-2012",12,"1","Toronto E02",45,26738900,594198,582000,60,65.2,45,1.2,101,22,"-","13","10409500","800731","716000","17",13,"100","23","21","10800700","514319","475000","22","12","101","19","2","1102000","551000","551000","5","8","102","33","4","1705400","426350","466700","10","8","101","5","4","2401800","600450","714500","6","4","101","36","8","4107200","513400",NA,NA,NA
"51","01-2012",12,"1","Toronto E03",58,27525030,474569,451940,107,61.4,89,1.5,101,18,"-","31","16893980","544967","485300","59",48,"101","18","14","7620450","544318","498000","22","10","103","12","1","147800","147800","147800","1","1","97","20","9","1789400","198822","179500","21","28","99","27","3","1073400","357800","353900","4","2","106","14","12","2862800","238566.6667",NA,NA,NA
"52","01-2012",12,"1","Toronto E04",64,21549188,336706,345000,136,61.2,151,2,99,31,"-","31","13268900","428029","396000","50",43,"99","28","4","1448500","362125","338000","12","10","98","15","8","2630500","328813","325000","18","19","99","32","19","3237400","170389","162000","54","77","97","40","2","963888","481944","481944","2","2","99","23","21","4201288","200061.3333",NA,NA,NA
"53","01-2012",12,"1","Toronto E05",40,15471788,386795,380000,71,71,74,1.4,101,27,"-","11","6299388","572672","571000","19",16,"102","25","2","865900","432950","432950","6","6","100","7","8","2354400","294300","294900","13","11","98","26","12","2899000","241583","231950","28","41","98","42","3","1228100","409367","403000","2","-","105","11","15","4127100","275140",NA,NA,NA
"54","01-2012",12,"1","Toronto E06",20,7655400,382770,394750,47,59.9,34,1.7,101,20,"-","16","6381400","398838","401000","35",25,"102","21","2","638000","319000","319000","5","3","97","14","-","-","-","-","-","-","-","-","2","636000","318000","318000","5","4","99","21","-","-","-","-","2","2","-","-","-","-","-",NA,NA,NA
"55","01-2012",12,"1","Toronto E07",53,19400286,366043,345000,88,58.8,146,2.1,100,31,"-","19","9897098","520900","517500","20",18,"101","22","4","1673688","418422","409400","5","4","104","16","3","929500","309833","312000","9","10","98","38","23","5408500","235152","233000","48","111","97","45","2","647000","323500","323500","2","-","100","10","25","6055500","242220",NA,NA,NA
"56","01-2012",12,"1","Toronto E08",28,13971600,498986,356000,73,57.2,104,2.5,96,37,"-","14","10636000","759714","472500","23",34,"94","24","1","370000","370000","370000","2","1","103","3","5","1253100","250620","253000","6","10","97","70","8","1712500","214063","193500","38","54","103","42","-","-","-","-","4","5","-","-","-","-","-",NA,NA,NA
"57","01-2012",12,"1","Toronto E09",68,20188951,296896,267500,160,58.2,207,2.2,99,35,"-","24","9787001","407792","401250","48",34,"101","14","-","-","-","-","2","3","-","-","3","532000","177333","201000","10","18","96","54","41","9869950","240730","239900","99","149","97","46","-","-","-","-","1","2","-","-","-","-","-",NA,NA,NA
"58","01-2012",12,"1","Toronto E10",33,12727088,385669,414000,60,60.2,76,2.1,99,31,"-","24","11131200","463800","441000","47",52,"99","29","1","330000","330000","330000","3","5","102","3","4","801000","200250","191500","6","7","98","27","4","464888","116222","105750","2","8","95","58","-","-","-","-","2","4","-","-","-","-","-",NA,NA,NA
"59","01-2012",12,"1","Toronto E11",51,15556701,305033,269900,117,58.1,150,2.4,98,28,"-","15","6404600","426973","471000","33",35,"99","23","4","1543001","385750","393751","7","10","100","13","13","2985000","229615","210000","19","24","97","38","10","1908900","190890","180500","42","68","98","39","8","2369200","296150","247000","15","12","99","13","18","4278100","237672.2222",NA,NA,NA
"60","01-2012",12,"1","Toronto East",502,202198531,402786,375500,1007,61.1,1167,1.9,100,27,"-","212","109699166","517449","459500","375",336,"100","22","66","32338739","489981","452500","117","94","102","14","52","14578300","280352","277500","98","117","98","35","140","32723938","233742","224250","368","578","98","41","24","9523388","396808","373000","41","37","101","21","164","42247326","257605.6463",NA,NA,NA
"61","01-2012",12,"1","Toronto W01",17,9044400,532024,490000,71,60,88,2.1,100,24,"-","4","3242000","810500","741250","7",6,"100","12","1","840000","840000","840000","3","2","112","7","3","1291400","430467","516000","6","6","98","22","9","3671000","407889","390000","55","70","98","32","-","-","-","-","-","3","-","-","-","-","-",NA,NA,NA
